date,commit,mode,track,laps_completed,best_lap,total_time,collisions_major,finish_reason,notes
2026/6/10,local,fastest,complex,0,,300,0,timeout,"iter30 提高急弯速度并降低弯道/转向降速；300 秒末帧 x=78.603,y=56.009，已过 CP4 并接近 CP5，明显优于 iter27/29 只能到 CP4 附近。"
2026/6/10,local,fastest,complex,1,700.32,700.32,0,physical_finish_blocked_by_idle_cars,"iter33 practice 约 t=590.624 接近 CP8，t=700.320 回到起终点前 x=-10.214,y=-27.045；俯视图显示单车配置下未参赛车辆仍停在发车格，前方静止车辆阻挡导致无法继续穿过起点线。"
2026/6/10,local,fastest,complex,1,670.88,670.88,0,physical_finish_temp_world,iter35 使用临时 car1-only world，把 car_2..car_6 移出赛道；约 t=603.520 接近 CP8，t=670.880 穿过起点区域并继续第二圈，证明当前策略在无静止车阻挡时能物理跑完整个 complex，但仍远超 300 秒正式窗口。
2026/6/10,local,fastest,complex,0,,300,0,timeout,"iter36 尝试更激进的速度参数；结果退步，CP1/CP2/CP3 均变晚，300 秒末帧 x=117.652,y=98.390，已回退这些过激速度参数。"
2026/6/10,local,fastest,complex,0,,300,0,timeout,iter37/38 尝试只在晚段提高 hard_turn/correction 速度；115s 开始会拖慢 CP3->CP4，255s 开始基本无收益，已回退 late speed 逻辑。
2026/6/10,local,fastest,complex,0,,746.688,0,manual_stop_blocked_by_idle_cars,"用户触发复测：当前 final 在官方 track_complex.wbt 单车 car_1 跑到 t=746.688 仍无 lap/finish 事件，末帧 x=-9.709,y=-27.192,speed=0.01；俯视图显示白车和黑车停在发车格阻挡，手动中止 Webots。"
2026/6/10,local,fastest,complex,1,611.616,611.616,0,physical_finish_manual_stop,"加入近处车身遮挡检测后，只在障碍帧收紧道路段合并间隔；官方 track_complex.wbt 单车 car_1 约 t=599.392 回到起点区域，t=611.616 已穿过静止车发车格并继续前进。supervisor lap 仍为 0，手动停止于 t=639.168。300s 位置 x=78.624,y=126.619，较 iter30 慢。"
2026/6/10,local,fastest,basic,0,,242.784,0,manual_stop_stall,"red-world 门控超宽道路本地化后，basic 仍未恢复；t=242.784 位于 x=71.605,y=275.398，速度 0.48，仍沿上边界缓慢卡住。说明 basic 退化不只来自 complex 红色场景本地化，还需要回调 policy 参数。"
2026/6/10,local,fastest,basic,1,288.192,288.192,0,physical_finish_unofficial,"加入场景感知参数分流后，非红色 basic 使用基线 policy 参数；官方 track_basic.wbt 单车 car_1 约 t=288.192 穿过起点区域 x=-19.498,y=122.621，并继续第二圈。supervisor lap 仍为 0。"
2026/6/10,local,fastest,complex,1,609.504,609.504,0,physical_finish_unofficial,"当前 final 在官方 track_complex.wbt 单车 car_1 实跑；约 t=609.504 到达起终点栅格 x=45.029,y=-28.625，随后越过静止车区域并继续第二圈。supervisor lap 仍为 0，手动停止于 t=782.208。"
2026/6/10,local,fastest,basic,1,287.52,287.52,0,physical_finish_unofficial,"连续红色环境锁存版 final 复测；官方 track_basic.wbt 单车 car_1 于 t=287.520 到达起点区域 x=-19.459,y=120.014，随后继续第二圈。supervisor lap 仍为 0，手动停止后尾帧含 Webots 终止时 nan。"
2026/6/10,local,fastest,complex,1,609.504,609.504,0,physical_finish_unofficial,"连续红色环境锁存版 final 复测；官方 track_complex.wbt 单车 car_1 于 t=609.504 到达起终点栅格 x=45.029,y=-28.625，之后继续第二圈。supervisor lap 仍为 0，手动停止后尾帧含 Webots 终止时 nan。"
2026/6/11,local,fastest,basic,1,287.52,287.52,0,physical_finish_unofficial,"拆出 opponent 模块并默认关闭 enable_opponent_avoidance 后复测；官方 track_basic.wbt 单车 car_1 于 t=287.520 到达起点区域 x=-19.459,y=120.014，轨迹未退化。"
2026/6/11,local,fastest,complex_car1_only,1,667.584,667.584,0,physical_finish_unofficial,"拆出 opponent 模块并默认关闭 enable_opponent_avoidance 后复测；使用 car1-only 临时 world，仅移走 car_2..car_6，不改赛道几何。car_1 于 t=667.584 到达起终点栅格 x=45.016,y=-28.637；没有快于 609.504。"
2026-06-11,local,fastest,basic,1,,359.552,0,physical_finish_unofficial,"R001 | P0+P1 收过舵+脱困方向改朝路面：新增 _road_direction_sign 朝路面脱困、lost 衰减回收、速度相关收舵 steering_speed_cap_scale、去掉 hard_turn×1.05，并降低 basic 转向激进度(max_abs_steering 1.0→0.88 等)。配置 basic/car_1/单车/practice。结果：用户肉眼记 physical_finish_unofficial(约 282s 穿越起点，未经 telemetry 核验)；supervisor finish_reason=supervisor_stop, lap=0, final_rankings=[], duration_sim=359.552s。现象：过弯更宽但仍系统性偏内侧，最后一弯轻擦栏杆基本擦过；撞击太轻未触发脱困，脱困方向修复未观察到。记录完整性：interleaved/不可靠(脚本读 telemetry 40273 帧 vs metadata.total_frames=11236 且 t 非单调，疑孤儿 Webots)，故无干净坐标/速度。详见 notes.md R001；干净测量见后续带控制日志基线 R002。"
2026-06-11,local,fastest,basic,0,,327.104,0,supervisor_stop,"R002 | P0+P1 带日志干净基线（诊断跑）。构建为调试单文件(--debug-log)。记录完整性：控制日志 clean(10222==metadata.total_frames)，遥测 5 段残留但脚本自动取最近一段。结果：duration_sim=327.104s, supervisor_stop, lap=0, 末帧 x=-19.78,y=232.67 仍在动。确诊：lost 占比 27%(mode cruise42/lost27/hard_turn23/recover7)，指令速度 mean0.47/max0.876 够不到 base0.96；转向 mean|steer|0.063、换向 0.06次/秒→几乎无左右磨；横向偏置 mean|lat|0.043→无系统性内侧偏置；遥测最近段 world speed mean2.70、近停占比0.00→物理稳定行进不卡顿。结论：慢的主因是 27% 丢线把指令速度压到 lost_speed0.24，非转向震荡/非停车。下一步优先降丢线率再放宽速度上限。详见 notes.md R002。"
2026-06-11,47fc07c,fastest,basic,0,,133.66,0,manual_stop_stuck,"R003 | C001(饱和mask置信度0.25→0.50)上车验证，拒绝合并。basic/car_1/practice 调试构建。结果：在进入第二段直道前的弯卡上右侧栏杆无法脱困，手动停于 t=133.66。卡死帧 lateral=-0.65/steering=-0.78(方向对)/speed=0.386，脱困空档(basic关几何脱困、低速脱困需<0.22)。指标 vs R002：lost 27%→16%(降了)，但 mean|lat| 0.043→0.199、hard_turn 23%→46%。overlay 实锤根因：道路 mask 把草地当成路(fill≈0.93)，颜色 mask 回退时以 ROI 底部草地为种子；C001 把这类饱和帧放行→中心落草里→朝草/栏杆打→卡死。离线 lost 22.7%→0.3% 是代理指标被 game。结论：拒绝 C001，真修在上游让 mask 用低饱和/灰度排除草地、沥青不可见就 lost。详见 notes.md R003。"
2026-06-11,local,fastest,basic,1,,317.6,0,physical_finish_unofficial,"R004 | C002 grass-fix+pinned-escape（保留/已提交）。basic/car_1/practice 调试构建。lost=0.27, mean|lat|=0.042（跟踪干净，无 C001 偏置）。pinned-escape 触发(t≈208.8, 28 escaping 帧)，用户确认原先卡死点没再卡。残留：蓝门 2 处大摆动(t≈79,208)。当前验证可用基线。详见 notes.md R004。"
2026-06-11,local,fastest,basic,1,,561.9,0,physical_finish_unofficial,"R005 | C003 在 C002 上加蓝门 gate-bridge（保留，是迄今最好版本）。用户实车 ground truth：比之前所有版本都好，蓝门前大拐弯+过弯剐蹭栏杆全部消失，只剩第一蓝门前稍丢线。离线代理指标误导：lost=0.54、全局感知丢线 0.227→0.660（蓝门色≈天空→部分含天空帧 mask 饱和→判 lost），但 lost≠开得差(lost 时直线滑行不偏出)。纠错：我曾据此误判回归并回退，是工作流程错误(用离线代理否决实车 ground truth)，已按用户指正恢复。详见 notes.md R005。"
2026-06-11,local,fastest,basic,1,,468,0,physical_finish_unofficial,"R006 | C004=C003+估计器曲率可信度门控(curvature=raw×trust, trust=点数×纵向跨度×拟合质量)。用户实车：迄今最好，过弯不再往反方向(左)打轮、离开中心线明显好转。数据：幻觉左弯(curv<-0.1)从hard_turn里0.22→0.056；mean|lat|=0.027贴中心线紧；steer mean+0.023偏右。lost=0.69是gate-bridge良性虚高不据此判好坏。残留：转弯转太早→贴内线栏杆(corner cut, 远处前瞻项在车还居中时提前打轮)。下一步做入弯时机门控。详见 notes.md R006。"
2026-06-11,local,fastest,basic,1,,278,0,physical_finish_unofficial,"R007 | C006=C004+入弯门控(C005)+直道提速。用户实车：直道没明显变快、第二个弯仍提前拐贴右栏。诊断：straight_speed 够到(max0.780)但只命中24%帧(53%lost限速0.24 + heading噪声大致curve_risk常>0.12判不成直道)，mean speed仍0.38；入弯门控一般弯改善但第二个弯(单纯右弯+白线3段不连续接缝乱)感知中心线被带偏→骗开门控→早拐。C005/C006实验性已提交分支，可靠基线仍C004。当前交接以 experiments/STATUS.md 为准。详见 notes.md R007。"
2026-06-11,local,fastest,basic,0,,101.06,0,manual_stop,"R008 | 直道 lost 滑行提速诊断复测。working-tree 调试构建，basic/car_1/practice，跑前清空 SDK 录制目录，记录 clean：telemetry 3158 帧、控制日志 3157 帧。控制命令速度 mean0.889/median1.000/p951.000；supervisor 速度 mean5.231/median6.100/p956.100/max6.120，近停占比<0.3=0.00。起步后直道候选帧 2568 帧真实速度 p05=3.18、p10=4.10、median=6.10，world_speed>=1.5 占比 1.000；高速小舵角命令帧 p05=4.31，>=1.5 占比 1.000。归档 .tmp/recordings/straight_speed_clean2_2026_06_11。"
2026-06-11,local,fastest,basic,0,,100.42,0,manual_stop,"R009 | P2 白线接缝修复闭环 100s 控制日志短跑。working-tree 调试构建 .tmp/run/team_controller_p2_debug.py，basic/car_1/practice，控制日志 clean：3138 帧，t=0.03→100.42s；telemetry 后续被 R010 覆盖未归档。结果：控制速度 mean0.890/median1.000/p951.000，mean|lat|0.028，|lat|>0.3 占比约0.00，mean|heading|0.052。旧 C006 78-80s 窗口在当前提速后不再对应同一赛段，当前该窗口几何量接近0；最大非lost横向峰值转移到 t≈22.5s，已用 R010 抓帧复查。"
2026-06-11,local,fastest,basic,0,,42.11,0,manual_stop,"R010 | P2 白线接缝修复闭环抓帧复查。working-tree 调试构建 .tmp/run/team_controller_p2_dump.py，basic/car_1/practice，控制日志 clean：1316 帧，t=0.03→42.11s；相机帧 .tmp/run/frames_p2_webots/ stride=2；telemetry 归档 .tmp/recordings/p2_webots_short_2026_06_11。结果：mean|lat|0.038，|lat|>0.3 占比0.01；supervisor 速度 mean4.882/median6.080/p956.100，近停占比<0.3=0.00，无事件。t≈22.3-22.6s 有短暂 hard_turn 峰值，但 overlay 显示扫描中心沿可行驶走廊/车道虚线连续走，不是 R007 的孤立白线接缝污染。"
2026-06-11,local,fastest,basic,0,,259.84,0,manual_stop,"R011 | basic 白线位置优先修正复测。working-tree 正式 final，basic/car_1/practice。telemetry clean：8120 帧，t=0.03→259.84s，归档 .tmp/recordings/basic_line_follow_strong_2026_06_11。结果：手动中止时仍正常行驶；速度 mean5.469/median6.090/p956.100/max6.120，近停占比<0.3=0.00。末段静态车阵 y=95→135 的 x=-19.64→-19.38，车速≈6.10m/s，不再撞 car5；仍需继续按画面细调白线居中精度。"
2026-06-11,local,fastest,complex,0,,440.26,0,manual_stop_stuck,"R012 | complex 白线位置优先修正长跑。working-tree 正式 final，complex/car_1/practice。telemetry clean：13758 帧，t=0.03→440.26s，归档 .tmp/recordings/complex_line_follow_long_2026_06_11。结果：未完整跑通；原第一个左弯卡点 x≈183,y≈-27 已能通过(t≈43.9→72.8 从 x=180.0,y=-29.0 到 x=198.5,y=-15.1)，但 t≈360.7 后在 x≈-10,y≈-27 近停，手动中止。速度 mean2.889/median3.240/p955.550，近停占比<0.3=0.22。"
2026-06-11,local,fastest,basic,1,,442.08,0,physical_finish_unofficial,"R013 | 白线前移到 estimator/policy + 边界余量保护后 basic 实跑。working-tree 正式 final，basic/car_1/practice。telemetry interleaved，脚本仅用最后一段：13815 帧 t=0.03→442.08s，归档 .tmp/recordings/basic_line_state_R013。车在 t≈299.36s 进入起点区域 x≈-19.23,y≈127.88，按历史代理记 physical_finish_unofficial；速度 mean5.238/median6.090/p956.100/max6.130，近停占比<0.3=0.00。用户反馈：basic 相比 R011 明显变慢，视觉上仍没有稳定骑在白线上，仍有不必要打轮/减速。"
2026-06-11,local,fastest,complex,0,,214.91,0,manual_stop_stuck,"R014 | 白线前移到 estimator/policy + 边界余量保护后 complex 实跑。working-tree 正式 final，complex/car_1/practice。telemetry interleaved，脚本仅用最后一段：6716 帧 t=0.03→214.91s，归档 .tmp/recordings/complex_line_state_R014。旧第一左弯卡点 x≈186,y≈-27 只爬行约2.9s后通过；后续从 t≈121.1s 起卡在 x≈165,y≈119，末帧 x=165.23,y=119.25,speed=0.000；近停占比<0.3=0.45。用户截图/反馈：本质仍是转弯半径太小，贴内侧栏杆撞车且无法脱困，白线居中和无意义打轮/减速问题仍在。"
2026-06-11,local,fastest,basic,0,,147.8,0,manual_stop,"R015 | 白线降级版首跑：行驶正常；弯中线闪烁与白车单帧误锁两处残留。详见 notes.md R015。"
2026-06-11,local,fastest,complex,0,,41.9,0,manual_stop_stuck,"R016 | 白线降级版首跑：护栏误锁致直道摆动；线修正抵消入弯舵角+几何脱困误触发致第一左弯撞左栏卡死。详见 notes.md R016。"
2026-06-11,local,fastest,complex,0,,532.3,0,manual_stop_stuck,"R017 | 线信任门控+escape 低速门槛复验：直道摆动和第一左弯改善，但后段 x≈-10,y≈-27 仍近停。详见 notes.md R017。"
2026-06-11,local,fastest,complex,0,,450.2,0,manual_stop_stuck,"R018 | 新增边界障碍脱困候选：早段卡点通过，但后段 x≈9,y≈87 内侧栏杆近停。当前保留为工作树候选。详见 notes.md R018。"
2026-06-11,local,fastest,complex,0,,145.0,0,manual_stop_stuck,"R019 | escape 执行中按边界翻向的反例：退化回 x≈166,y≈117 早段卡死，已撤回。详见 notes.md R019。"
2026-06-11,local,fastest,complex,0,,153.7,0,manual_stop_stuck,"R020 | 低置信入弯门控反例：仍卡 x≈165,y≈119，已撤回。详见 notes.md R020。"
2026-06-11,local,fastest,complex,0,,155.2,0,manual_stop_stuck,"R021 | 采样色卡落配置：真实帧重放 lost 95.6%→0%，闭环开头贴左/首弯问题明显改善，但后段仍在 x≈169,y≈111 低速卡住。详见 notes.md R021。"
2026-06-11,local,fastest,complex,0,,197.57,0,manual_stop,"R022 | 按历史有效方法放大入弯半径，并把 escape 限定为贴边脱困；旧 x≈169,y≈111 卡点已通过，t≈177s 仍 normal，但未证明整条 complex 跑通。详见 notes.md R022。"
2026-06-11,local,fastest,basic,0,,130.59,0,manual_stop,"R023 | basic 短跑回归正常；mean|lat|=0.033，近停占比低，未见新贴边或误 escape。详见 notes.md R023。"
2026-06-11,local,fastest,complex,0,,622.02,0,manual_stop_stuck,"R024 | 边界障碍脱困提前实验失败：未解决白线/转弯半径问题，x≈169,y≈111、x≈-42,y≈124 和起点前均出现长时间近停；策略改动已撤回。详见 notes.md R024。"
2026-06-11,local,fastest,complex,0,,190.34,0,manual_stop,"R025 | 白线优先失效取证：130-185s 窗口补帧并渲 overlay；x≈169,y≈111 段 line_conf 全程为 0，说明不是白线优先级被压低，而是白线感知链路没有提供可用目标。详见 notes.md R025。"
2026-06-12,local,fastest,complex,0,,93.60,0,manual_stop,"R026 | Phase 1 后首段 complex 取证：lost 降到约 1%，起步居中改善，但第一个左转仍有 14.1s 爬行，机制是弯中白线在主转向帧掉线、road-mask 预判提前左打导致半径过小。已归档 open case 和 report figures，详见 notes.md R026。"
2026-06-12,local,fastest,complex,0,,46.02,0,manual_stop,"R027 | Phase 2 候选复跑：第一个左转仍撞/擦左边但未长时间卡死。白线已大量召回，问题转为 line_heading/road heading 强左压过 offset 回中，且 0.55 offset 门拒掉 0.62-0.71 的真实弯中白线。已实现 offset 优先修复候选，详见 notes.md R027。"
2026-06-12,local,fastest,complex,0,,64.58,0,ai_short_stop,"R028 | Phase 2.1 候选 AI 自主短测：只跑到当前问题窗口之后即停止；第一个左弯无长爬行、无 telemetry 事件，t≈42 已回到直道中央。残留 t≈32-35 低速硬左瞬态，case 仍需人眼终判，详见 notes.md R028。"
2026-06-12,local,fastest,complex,0,,70.75,0,ai_short_stop,"R029 | Phase 2.2 候选 AI 自主短测：只跑到第一个左弯后；红色环境单目白线兜底+曲线虚线门控放宽后，line_conf>0 达 481/500，窗口无 telemetry 事件、无近停，t≈42 已稳定出弯。case 仍需人眼终判，详见 notes.md R029。"
2026-06-12,local,fastest,basic,0,,46.78,0,ai_short_stop,"R030 | Phase 2.2 候选 basic 短回归：只跑早段 46.8s；red_env 全程 0，确认红色环境单目兜底未污染 basic。无 telemetry 事件、无近停，详见 notes.md R030。"
2026-06-12,local,fastest,complex,0,,220.35,0,ai_short_stop,"R031 | Phase 2.2 候选覆盖旧 R024/R025 后段内切窗口：跑到 t≈220s 主动停止，130-185s 窗口无 telemetry 事件、无近停，最低真实速度约 1.74，旧 x≈169,y≈111 长爬行未复现。详见 notes.md R031。"
2026-06-12,local,fastest,complex,0,,351.68,0,ai_short_stop,"R032 | Phase 2.2 候选从头覆盖 R018 风险窗口：跑到 t≈352s 主动停止，280-330s 窗口无 telemetry 事件、无近停，最低真实速度约 1.55，旧 x≈9,y≈87 内切卡点未复现。详见 notes.md R032。"
2026-06-12,local,fastest,complex,0,,450.43,0,ai_short_stop,"R033 | Phase 2.2 候选延长跑到 t≈450s：无 telemetry 事件、无近停；但本轮误按旧时间窗口分析，旧 x≈-42,y≈124 空间点由 R034 补证。详见 notes.md R033。"
2026-06-12,local,fastest,complex,0,,274.43,0,ai_short_stop,"R034 | Phase 2.2 候选按坐标覆盖旧 R024 空间卡点：最近到 x≈-44.0,y≈124.0，速度约 2.55，状态 normal；无 telemetry 事件、无近停，旧 x≈-42,y≈124 卡点未复现。详见 notes.md R034。"
2026-06-12,local,fastest,complex,0,,399.74,0,ai_short_stop,"R035 | Phase 2.2 候选长跑到 t≈400s：通过旧 x≈-42,y≈124、旧起点前 x≈-10,y≈-27 / x≈28,y≈-28，并进入下一轮早段；无 telemetry 事件、无近停。详见 notes.md R035。"
2026-06-12,35b96a1,fastest,complex,0,,360.32,0,ai_short_stop,"R036 | 正式 submissions/final 单文件 complex 冒烟：通过旧 x≈169,y≈111、x≈-42,y≈124、旧起点前 x≈-10,y≈-27 / x≈28,y≈-28；无 telemetry 事件、无近停。详见 notes.md R036。"
2026-06-12,39b6cfe,fastest,basic,0,,150.69,0,ai_short_stop,"R037 | 正式 submissions/final 单文件 basic 回归：跑到 t≈151s 主动停止，无 telemetry 事件、无近停，均速约 5.12，中位速度 6.09；未见 Phase 2.2 complex 兜底污染 basic。详见 notes.md R037。"
2026-06-12,ab58b74,fastest,complex,0,,330.14,0,human_best_residual,"R038 | 人工复跑确认当前最佳：绝大多数弯不再剐蹭且能自行通过；telemetry 未记录碰撞事件且无近停，但人工 GUI console/人工观察确认仍有一次碰栏/轻蹭。残留是弯中半径偏小、车会落到白线内侧。已存 baseline、figures 和 open case，详见 notes.md R038。"
2026-06-12,local,fastest,complex,0,,98.40,0,ai_short_stop,"R039 | 弯中持续内侧向外辅助+丢置信保持候选改的 AI 自跑：同弯开/关辅助对照，深陷内侧帧(|lo|>0.50) 22→8、向外峰值舵角 +0.41→+0.52，外切余量不变；无 lost/escape。telemetry 本轮清理未生效不采信。走线改动待人工关键验收，R038 case 仍 open。详见 notes.md R039。"
2026-06-12,local,fastest,complex,0,,232.10,0,ai_short_stop,"R040 | 新增 SDK 接触日志(env开关,debug-only)首次直接看到撞栏：R039 全程唯一真撞栏在 t=228.6(6点/z0.90)。R040 弯中按白线证据在源头削远处预瞄项后，同世界复跑 t226-231 撞栏0次、整段232s无新撞栏无lost。走线改动待人工终判，R038 case 仍 open。详见 notes.md R040。"
2026-06-12,local,fastest,complex,0,,235.60,1,human_contact,"R041 人工实跑（暴露真因）：补漏后的接触检测抓到 t230.2 真撞栏(12点/z0.53)+t99/t124 轻擦=多弯系统性切内。控制日志定位真因：入弯门控用 heading 当 arrival 判据、车还居中就提前转。促成 R042 入弯门控重做。详见 notes.md R042。"
2026-06-12,local,fastest,complex,0,,239.52,0,human_pass_close,"R042 人工实跑验证：入弯门控重做（arrival 只看近处 lateral、heading 退出、floor 0.25）后，最紧 t≈230 弯从 R041 的撞栏12点变成无剐蹭通过（contact 日志该弯0次）；入弯 commit 从 t224/lat≈0 推迟到 t227/lat=−0.14，弯中 line_offset 峰值 0.65→0.23。残留：t230 仍很 close、更小弯 t≈101-102 轻擦。已归档 case+figure。详见 notes.md R042 / cases/R042_turn_in_too_early。"
2026-06-12,local,fastest,complex,0,,,1,human_radius_ok,"R044 人工实跑：转弯半径基本解决（90°急弯不再切内、缓弯基本骑线），gentle_extra=1.5 略过头(急弯偶外偏/缓弯line_offset中位−0.07)。末段蹭右侧静止黑车=半径略大副作用，无避让逻辑暂不管。促成 R044-b 回调 + 速度提升4阶段。详见 notes.md R045 / cases/R042_turn_in_too_early。"
2026-06-13,local,fastest,complex,0,,257.70,0,human_best,"R049 人工实跑=当前最佳：入弯门控重做(R042-R048)+定向提速(R049)后，转弯不撞、全程明显更快(mean速度0.85/median0.90、0 lost)；contact 日志 7 episode 全是轻擦(峰值3点/zmax≤0.50)无硬撞；末段蹭右侧静止黑车(无避让逻辑、已知)。已存 baseline R049_turn_in_speed_best_2026-06-13。详见 notes.md R049。"
2026-06-13,multi-car-v2-worktree,fastest,complex,0,,,0,pending_webots,"R050 | 上游合并(R049 base)+多车安全改进：跨帧轨迹锚定、丢线强制倒车安全网、对手降速0.72、红色环境置信加成。pytest 122/122 passed, build+validate 通过。详见 notes.md R050。"
2026-06-13,with_other_cars,fastest,complex,3+,,275+,0,multi_car_pass,"R052 终版 | 6车complex：car_1成功完赛3-4圈(最大speed 5.80)，CP3短暂卡死~2s后脱困自救恢复。弯道+对手减速因子0.40、脱困摆动0.30、物理卡死检测force_escape。已推送upstream/with_other_cars。详见 notes.md R052。"
